"# Format: initial edge vertex, final edge vertex"
0,20
0,21
0,22
0,23
0,24
0,1
0,2
0,3
0,4
1,24
1,25
1,26
1,28
1,30
1,2
1,22
1,23
2,3
2,22
2,23
3,4
4,5
5,6
6,7
6,8
7,8
8,9
8,31
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,31
10,31
10,11
10,12
10,13
10,14
10,15
10,16
10,17
11,31
11,12
11,13
11,14
11,15
11,16
12,16
12,31
12,13
12,14
12,15
13,15
13,16
13,31
13,14
14,15
14,16
14,31
15,16
15,31
16,31
16,17
17,31
17,18
17,19
18,19
19,20
20,21
21,22
22,23
22,29
22,30
23,24
23,27
23,28
23,29
23,30
24,25
24,26
24,27
24,28
24,29
24,30
25,26
25,27
25,28
25,29
25,30
26,27
26,28
26,29
26,30
27,28
28,29
28,30
29,30
