# Format: belongs_to_polygon, vertex_x, vertex_y. Notice that firts and last vertices do not belong to ant polygon. They are start and goal points.
0,14.0,10.1
1, 17.0, 16.5
1, 14.9, 16.9
1, 13.2, 18.4
1, 12.2, 21.5
1, 13.0, 25.0
1, 17.1, 25.4
1, 22.0, 24.4
1, 25.5, 25.0
1, 28.2, 24.3
1, 28.5, 21.4
1, 28.9, 18.5
1, 31.2, 16.8
1, 33.7, 16.3
1, 36.3, 15.9
1, 39.2, 16.5
1, 42.8, 17.6
1, 46.5, 16.8
1, 42.8, 15.2
1, 37.8, 12.9
1, 35.0, 12.0
1, 28.9, 12.3
1, 25.0, 12.8
1, 22.3, 15.0
1, 20.1, 17.7
1, 18.6, 20.6
1, 17.3, 22.5
1, 14.9, 23.2
1, 15.7, 21.5
1, 15.4, 19.6
1, 16.5, 18.0
2,37.5,23.8
